name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,16,232724484,,,,park,,"POLYGON ((116.3369976 39.9421724, 116.3401378 39.942508, 116.3411039 39.9426413, 116.3418476 39.9424641, 116.3436602 39.9419668, 116.3440515 39.9418747, 116.3444546 39.9419731, 116.3448194 39.9422198, 116.3449899 39.9419585, 116.3451643 39.9415832, 116.3442384 39.9414291, 116.343909 39.9414293, 116.3435373 39.9414889, 116.3433448 39.9415285, 116.3431368 39.9415816, 116.3417713 39.9418493, 116.3409881 39.9418575, 116.3408815 39.9418542, 116.3408528 39.9417442, 116.3405997 39.9417394, 116.3405285 39.9413732, 116.3404378 39.9413486, 116.3404195 39.9412406, 116.3404529 39.9408786, 116.3401733 39.9408372, 116.3393722 39.9408263, 116.3393673 39.9410102, 116.3370602 39.9409727, 116.3369659 39.9411309, 116.3369976 39.9421724))",POINT (116.3401861 39.9417725),73332.8,789346.7
中央财经大学,17,248393687,,,university,,,"POLYGON ((116.3340479 39.9566804, 116.3390097 39.9569535, 116.3390162 39.9572216, 116.3394048 39.957311, 116.3391457 39.9578968, 116.338906 39.9584579, 116.3386469 39.9590934, 116.3384202 39.9596048, 116.3370429 39.9595291, 116.3359588 39.9594857, 116.3351029 39.9594222, 116.3349548 39.9594112, 116.3339572 39.9594261, 116.3330892 39.9594112, 116.333167 39.9589047, 116.333167 39.9585572, 116.3335103 39.9583983, 116.3335556 39.9572961, 116.3340479 39.9566804))",POINT (116.3361857 39.9581509),139844.5,1505272.2
哇沃SDK生活广场,18,256453432,,retail,,,,"POLYGON ((116.3423329 39.9564709, 116.3429659 39.9564792, 116.3430839 39.9558624, 116.3430303 39.9558254, 116.3427191 39.9557554, 116.3423329 39.9564709))",POINT (116.3427604 39.9561618),3325.2,35792.1
北京四惠西区医院,19,256453433,,hospital,hospital,,,"POLYGON ((116.3431483 39.9558706, 116.3434755 39.955887, 116.3434755 39.9563805, 116.3431215 39.9563805, 116.3431483 39.9558706))",POINT (116.3433041 39.9561329),1621.0,17448.2
,20,256453434,,yes,,,,"POLYGON ((116.3434862 39.9557554, 116.344189 39.9557637, 116.3442373 39.9544067, 116.3436633 39.9544067, 116.3435345 39.9546164, 116.3434862 39.9557554))",POINT (116.3438681 39.9550928),8839.5,95147.5
东区操场,21,265006296,,,,pitch,,"POLYGON ((116.3409461 39.9473319, 116.3403882 39.9472661, 116.3406377 39.945762, 116.3408777 39.9457735, 116.3409555 39.9457468, 116.3410225 39.9457324, 116.3410977 39.9457303, 116.3411728 39.9457314, 116.3412707 39.9457447, 116.3413645 39.9457704, 116.3414343 39.9458013, 116.3415121 39.9458486, 116.3416757 39.9458514, 116.3415 39.9472939, 116.3413779 39.9472859, 116.3413243 39.9472839, 116.341221 39.9473157, 116.3411084 39.9473404, 116.3409461 39.9473319))",POINT (116.3410453 39.946548),15718.8,169195.6
东区食堂,22,265006297,,yes,restaurant,,,"POLYGON ((116.3398379 39.9473287, 116.3396496 39.9471662, 116.3396607 39.9470209, 116.3399659 39.9468545, 116.340215 39.9468794, 116.3403065 39.9469609, 116.3402933 39.9471199, 116.3400892 39.9472781, 116.3399543 39.9472618, 116.3398379 39.9473287))",POINT (116.3399811 39.9470771),2057.0,22141.2
东区体育馆,23,265006298,,yes,,,,"POLYGON ((116.3396886 39.9467645, 116.3397013 39.946583, 116.3392602 39.9465649, 116.3392476 39.9467464, 116.3396886 39.9467645))",POINT (116.3394744 39.9466647),761.2,8193.1
东区游泳池,24,265006299,,,,swimming_pool,,"POLYGON ((116.3391849 39.947347, 116.3392265 39.9468305, 116.3396522 39.9468507, 116.3396106 39.9473672, 116.3391849 39.947347))",POINT (116.3394186 39.9470989),2092.7,22525.2
逸夫操场,25,265006381,,,,pitch,,"POLYGON ((116.3382544 39.9512387, 116.3384448 39.9506195, 116.3395358 39.9508158, 116.3393236 39.9514214, 116.3382544 39.9512387))",POINT (116.3388887 39.9510224),6632.7,71394.2
北京交通大学东校区,26,266297360,,,university,,,"POLYGON ((116.3391257 39.9473742, 116.3392197 39.9468014, 116.3391638 39.9467739, 116.3392146 39.9465445, 116.3393876 39.9465113, 116.3396354 39.9446717, 116.3413371 39.9440583, 116.3419429 39.9438523, 116.3420495 39.9450011, 116.3418934 39.9461315, 116.3426154 39.9461966, 116.3425304 39.9466307, 116.3417888 39.9465847, 116.3417724 39.9467022, 116.3416567 39.9466922, 116.3415492 39.9474206, 116.3403518 39.9473182, 116.3403361 39.9474284, 116.3391257 39.9473742))",POINT (116.3407654 39.9458421),75555.5,813271.4
北京交通大学,27,266512538,,,university,,,"POLYGON ((116.3337823 39.9476402, 116.3334796 39.9476053, 116.3329817 39.9478206, 116.332088 39.9483192, 116.3318579 39.9484869, 116.3316253 39.9486723, 116.3315208 39.948752, 116.3308008 39.9495531, 116.3307194 39.949704, 116.3306215 39.9498639, 116.3305007 39.9500636, 116.3303837 39.9502943, 116.3302789 39.9505864, 116.330218 39.9507783, 116.3301597 39.9510026, 116.3301193 39.9512109, 116.330056 39.9515914, 116.3307844 39.9517109, 116.3307749 39.951801, 116.3308833 39.9518219, 116.3321556 39.9520235, 116.3335116 39.9522536, 116.333531 39.9521945, 116.3337122 39.9517118, 116.3359603 39.9521217, 116.3365432 39.9522279, 116.3375625 39.9524138, 116.3379101 39.9513199, 116.3405345 39.9517598, 116.340416 39.9522569, 116.3414484 39.952413, 116.3410379 39.954012, 116.3417638 39.9541181, 116.3421964 39.9541403, 116.3425616 39.9540272, 116.342693 39.9534874, 116.3427493 39.9530497, 116.3427836 39.9528627, 116.3428426 39.9527238, 116.3430621 39.9527776, 116.343143 39.9528286, 116.3432626 39.9528495, 116.3433425 39.9528326, 116.3434559 39.9527894, 116.3435329 39.952705, 116.3435444 39.9526451, 116.3436049 39.9525429, 116.3437173 39.9524227, 116.3437379 39.952346, 116.3436978 39.952266, 116.3435892 39.9522183, 116.3434733 39.9521741, 116.3428722 39.9521813, 116.3426994 39.9521421, 116.3425436 39.9521683, 116.3423899 39.95217, 116.3416302 39.9520651, 116.3413483 39.952029, 116.3421043 39.9494091, 116.3371767 39.947944, 116.3374688 39.9473286, 116.3357534 39.9468749, 116.3354086 39.9478789, 116.3353659 39.9478714, 116.3353094 39.9478614, 116.3337823 39.9476402))",POINT (116.3364088 39.9502341),434072.0,4672307.3
16号学生公寓,28,276198652,,apartments,,,,"POLYGON ((116.3367717 39.9521792, 116.3368148 39.9520242, 116.3375869 39.9521503, 116.3375438 39.9523054, 116.3367717 39.9521792))",POINT (116.3371793 39.9521648),1186.5,12771.5
学生一食堂,29,276198748,,yes,restaurant,,,"POLYGON ((116.3369555 39.9518843, 116.3370565 39.9515907, 116.3376624 39.9516754, 116.3375976 39.9519967, 116.3369669 39.9519383, 116.3369555 39.9518843))",POINT (116.3373097 39.9518007),2054.6,22115.5
18号学生公寓,30,276198818,,apartments,,,,"POLYGON ((116.3370355 39.9514242, 116.3370565 39.9513555, 116.3370927 39.9513672, 116.3371174 39.9512942, 116.3373918 39.9513453, 116.337409 39.9513278, 116.3377653 39.9513818, 116.33771 39.9516082, 116.3371936 39.951541, 116.3370584 39.9515089, 116.3370355 39.9514242))",POINT (116.3374042 39.9514512),1482.5,15958.0
第八教学楼,31,276198844,,school,,,,"POLYGON ((116.3359308 39.9513092, 116.3359632 39.9511828, 116.3366155 39.9512813, 116.336583 39.9514077, 116.3359308 39.9513092))",POINT (116.3362731 39.9512952),811.9,8739.6
思源东楼,32,276198909,,school,,,,"POLYGON ((116.3353249 39.9500458, 116.3360552 39.9501589, 116.3359946 39.9503887, 116.3352643 39.9502756, 116.3353249 39.9500458))",POINT (116.3356598 39.9502172),1656.1,17826.0
科学会堂,33,276199032,,school,,,,"POLYGON ((116.3353294 39.9505839, 116.3354054 39.950339, 116.3359322 39.950435, 116.3358563 39.9506799, 116.3353294 39.9505839))",POINT (116.3356308 39.9505095),1292.4,13911.2
思源楼,34,276199049,,school,,,,"POLYGON ((116.3341747 39.9503157, 116.3343108 39.9498649, 116.3351648 39.9500164, 116.3350287 39.9504672, 116.3341747 39.9503157))",POINT (116.3346697 39.950166),3845.5,41392.3
思源西楼,35,276199074,,school,,,,"POLYGON ((116.3333431 39.9499238, 116.333408 39.9497317, 116.3341695 39.9498829, 116.3341046 39.950075, 116.3333431 39.9499238))",POINT (116.3337563 39.9499033),1479.9,15930.0
信息中心,36,276199644,,apartments,,,,"POLYGON ((116.3332378 39.9503295, 116.3332708 39.9502352, 116.3336054 39.9503041, 116.3336522 39.9501705, 116.334021 39.9502465, 116.3339217 39.9505299, 116.3336648 39.950477, 116.3336843 39.9504215, 116.3332736 39.9503369, 116.3332378 39.9503295))",POINT (116.3337062 39.9503379),1320.2,14210.3
15号学生公寓,37,276200624,,apartments,,,,"POLYGON ((116.3324407 39.9497363, 116.3324835 39.9496044, 116.3332105 39.9497428, 116.3331677 39.9498747, 116.3324407 39.9497363))",POINT (116.3328256 39.9497396),965.3,10390.4
建筑与艺术楼,38,276200626,,school,,,,"POLYGON ((116.3323544 39.9501294, 116.3323871 39.9500084, 116.3327679 39.9500688, 116.3331272 39.9501258, 116.3330784 39.9503064, 116.3323383 39.950189, 116.3323544 39.9501294))",POINT (116.3327327 39.9501574),1321.6,14225.3
9号公寓,39,276200628,,apartments,,,,"POLYGON ((116.3324851 39.9495426, 116.3325307 39.9494007, 116.3332792 39.9495422, 116.3332335 39.9496841, 116.3324851 39.9495426))",POINT (116.3328821 39.9495424),1068.2,11497.7
8号公寓,40,276201135,,apartments,,,,"POLYGON ((116.3325927 39.9491788, 116.3326319 39.9490461, 116.3333826 39.9491767, 116.3333433 39.9493094, 116.3325927 39.9491788))",POINT (116.3329876 39.9491777),993.0,10688.7
7号公寓,41,276201136,,apartments,,,,"POLYGON ((116.3326901 39.9488594, 116.3327371 39.9487045, 116.3334768 39.9488365, 116.3334298 39.9489914, 116.3326901 39.9488594))",POINT (116.3330835 39.9488479),1145.2,12326.4
12号学生公寓,42,276201137,,apartments,,,,"POLYGON ((116.3327829 39.9485049, 116.3328227 39.9483622, 116.333577 39.948486, 116.3335372 39.9486286, 116.3327829 39.9485049))",POINT (116.3331799 39.9484954),1066.9,11483.7
19号学生公寓,43,276201138,,apartments,,,,"POLYGON ((116.33285 39.9481519, 116.3329272 39.9478517, 116.3334539 39.9476403, 116.3338152 39.9477143, 116.3337628 39.947839, 116.3337545 39.9478834, 116.3335035 39.9478327, 116.3332057 39.9479722, 116.3331395 39.9479785, 116.333123 39.948061, 116.3336166 39.9481244, 116.3335918 39.9483083, 116.3328693 39.9481836, 116.33285 39.9481519))",POINT (116.3332912 39.9479664),2957.5,31834.7
2号学生公寓,44,276201139,,apartments,,,,"POLYGON ((116.3338863 39.9479635, 116.3339157 39.9478609, 116.3347801 39.9480063, 116.3347398 39.9481471, 116.3338754 39.9480016, 116.3338863 39.9479635))",POINT (116.3343278 39.948004),1209.1,13014.7
天佑会堂,45,276201140,,yes,,,,"POLYGON ((116.3336466 39.9487359, 116.3337348 39.9484344, 116.3338611 39.9484561, 116.3338751 39.948408, 116.3340002 39.9484295, 116.3339887 39.9484687, 116.334524 39.9485607, 116.3344332 39.9488711, 116.3336466 39.9487359))",POINT (116.3340836 39.9486451),2468.9,26575.1
第四教学楼,46,276201142,,school,,,,"POLYGON ((116.3334727 39.949347, 116.333538 39.9491536, 116.3343832 39.9493213, 116.3343179 39.9495148, 116.3334727 39.949347))",POINT (116.333928 39.9493342),1654.0,17803.9
第七教学楼,47,276202111,,school,,,,"POLYGON ((116.3352423 39.949751, 116.3352832 39.9496118, 116.3363823 39.9498015, 116.3363342 39.9499652, 116.3352352 39.9497754, 116.3352423 39.949751))",POINT (116.3358088 39.9497885),1791.7,19286.0
东阶梯教室,48,276202112,,school,,,,"POLYGON ((116.3363678 39.9494076, 116.3364119 39.9492745, 116.3367069 39.9493252, 116.3366766 39.9494647, 116.336627 39.9494774, 116.3364008 39.9494457, 116.3363678 39.9494076))",POINT (116.3365367 39.9493798),477.1,5135.0
第九教学楼,49,276202113,,school,,,,"POLYGON ((116.3354936 39.9486064, 116.3356673 39.9480948, 116.3368669 39.9482914, 116.3367069 39.9489024, 116.3355625 39.9487312, 116.3354936 39.9486064))",POINT (116.3361762 39.9485011),7431.2,79988.6
嘉园A座,50,276202114,,apartments,,,,"POLYGON ((116.3357424 39.9476057, 116.3358869 39.9471318, 116.3361933 39.9471867, 116.3360373 39.9476983, 116.3357309 39.9476434, 116.3357424 39.9476057))",POINT (116.3359621 39.947415),1567.4,16871.6
嘉园B座,51,276202115,,apartments,,,,"POLYGON ((116.3362681 39.9471883, 116.3360372 39.947119, 116.3360691 39.9470565, 116.3362759 39.9471186, 116.3362992 39.947073, 116.3363425 39.947086, 116.3363494 39.9470726, 116.3369953 39.9472663, 116.3368964 39.94746, 116.3362312 39.9472605, 116.3362681 39.9471883))",POINT (116.3365668 39.9472484),1575.6,16959.3
嘉园C座,52,276202116,,yes,,,,"POLYGON ((116.3367623 39.9477735, 116.3369413 39.9475281, 116.3372374 39.9475756, 116.3371135 39.9479688, 116.3367899 39.9479054, 116.3367623 39.9477735))",POINT (116.3369999 39.9477465),1348.2,14511.6
留园公寓,53,276202117,,apartments,,,,"POLYGON ((116.337099 39.9489034, 116.3371345 39.9487742, 116.3378646 39.9488921, 116.3378291 39.9490213, 116.337099 39.9489034))",POINT (116.3374818 39.9488978),934.0,10053.7
专家楼,54,276202118,,school,,,,"POLYGON ((116.3371188 39.9486138, 116.3371605 39.9484627, 116.3379635 39.9485931, 116.3379218 39.9487442, 116.3371188 39.9486138))",POINT (116.3375412 39.9486034),1201.9,12937.4
,55,276433860,,yes,,,,"POLYGON ((116.3370966 39.9424992, 116.3372466 39.9424992, 116.3372466 39.9424405, 116.3378593 39.9424405, 116.3378593 39.9423154, 116.3370966 39.9423153, 116.3370966 39.9424992))",POINT (116.337452 39.9423857),988.6,10640.7
,56,276433861,,yes,,,,"POLYGON ((116.3370716 39.9427991, 116.3378174 39.9428022, 116.3378183 39.9426886, 116.3370724 39.9426854, 116.3370716 39.9427991))",POINT (116.3374449 39.9427438),803.8,8651.7
,57,276433862,,yes,,,,"POLYGON ((116.3369619 39.943173, 116.3378406 39.9431806, 116.3378424 39.9430591, 116.3369637 39.9430515, 116.3369619 39.943173))",POINT (116.3374022 39.9431161),1012.4,10897.7
,58,276433863,,yes,,,,"POLYGON ((116.3369328 39.9436376, 116.3370922 39.9436383, 116.3370928 39.943552, 116.337833 39.9435553, 116.3378338 39.9434445, 116.3369343 39.9434405, 116.3369328 39.9436376))",POINT (116.3373387 39.9435096),1075.4,11575.8
,59,276433864,,yes,,,,"POLYGON ((116.3369498 39.9439557, 116.3378304 39.9439664, 116.337833 39.9438402, 116.3369525 39.9438295, 116.3369498 39.9439557))",POINT (116.3373914 39.943898),1053.9,11344.4
,60,276433865,,yes,,,,"POLYGON ((116.3370118 39.9447731, 116.3377244 39.9445561, 116.3375446 39.9442524, 116.3370118 39.9442447, 116.3370118 39.9447731))",POINT (116.3373024 39.9444728),2545.7,27401.3
,61,276433866,,yes,,,,"POLYGON ((116.3378539 39.9445549, 116.3377696 39.9444008, 116.3406036 39.943489, 116.340688 39.9436431, 116.3378539 39.9445549))",POINT (116.3392288 39.9440219),4870.2,52422.0
,62,276433867,,yes,,,,"POLYGON ((116.3410743 39.94353, 116.3409881 39.9433719, 116.3416672 39.9431542, 116.3417534 39.9433122, 116.3410743 39.94353))",POINT (116.3413707 39.9433421),1195.7,12870.1
,63,276433868,,yes,,,,"POLYGON ((116.3419489 39.9432929, 116.341861 39.9431365, 116.3425321 39.9429145, 116.3426201 39.9430709, 116.3419489 39.9432929))",POINT (116.3422405 39.9431037),1180.4,12706.0
,64,276433869,,yes,,,,"POLYGON ((116.3427593 39.9430614, 116.3426745 39.9429149, 116.3433571 39.9426826, 116.3434419 39.9428291, 116.3427593 39.9430614))",POINT (116.3430582 39.942872),1135.0,12216.8
,65,276433870,,yes,,,,"POLYGON ((116.3436155 39.9426193, 116.3434194 39.9422266, 116.343876 39.9420785, 116.3439989 39.942074, 116.3441511 39.9420987, 116.3442214 39.9421346, 116.3444965 39.942267, 116.3442682 39.9423972, 116.3436155 39.9426193))",POINT (116.3439013 39.9423115),3175.4,34179.4
11号楼,66,276433871,,apartments,,,,"POLYGON ((116.3382515 39.9425778, 116.3382717 39.9424515, 116.3388346 39.9425044, 116.3388144 39.9426307, 116.3382515 39.9425778))",POINT (116.3385431 39.9425411),684.2,7365.1
,67,276433872,,yes,,,,"POLYGON ((116.3389349 39.9426146, 116.3389543 39.9424998, 116.3395156 39.9425554, 116.3394962 39.9426703, 116.3389349 39.9426146))",POINT (116.3392253 39.942585),621.5,6689.7
,68,276433873,,yes,,,,"POLYGON ((116.3396436 39.9426965, 116.3396592 39.9425862, 116.3402096 39.942632, 116.340194 39.9427422, 116.3396436 39.9426965))",POINT (116.3399266 39.9426642),582.1,6266.2
,69,276433874,,yes,,,,"POLYGON ((116.3393822 39.9429838, 116.3393813 39.942878, 116.3400826 39.9428744, 116.3400835 39.9429803, 116.3393822 39.9429838))",POINT (116.3397325 39.9429291),703.9,7576.7
,70,276433875,,yes,,,,"POLYGON ((116.3384196 39.9428361, 116.3387226 39.9428313, 116.3387211 39.9427745, 116.3391965 39.9427669, 116.3392 39.9428936, 116.3387163 39.9429014, 116.3387177 39.9429515, 116.3384229 39.9429563, 116.3384196 39.9428361))",POINT (116.3388149 39.9428563),913.0,9827.3
,71,276433876,,yes,,,,"POLYGON ((116.3383064 39.9432129, 116.3385973 39.9432136, 116.3385974 39.9431859, 116.3388322 39.9431864, 116.3388323 39.9431544, 116.3390666 39.9431549, 116.3390661 39.943276, 116.3388341 39.9432755, 116.338834 39.9433032, 116.338588 39.9433027, 116.3385879 39.9433347, 116.338306 39.943334, 116.3383064 39.9432129))",POINT (116.3386863 39.9432465),860.9,9267.0
,72,276433877,,yes,,,,"POLYGON ((116.3381047 39.9437477, 116.3383901 39.9437461, 116.3383899 39.9437181, 116.3386336 39.9437168, 116.3386333 39.943691, 116.3388715 39.9436897, 116.3388703 39.9435647, 116.338643 39.9435659, 116.3386433 39.9435939, 116.3384023 39.9435952, 116.3384026 39.9436253, 116.3381036 39.9436269, 116.3381047 39.9437477))",POINT (116.3384904 39.9436587),886.3,9539.5
,73,276433878,,yes,,,,"POLYGON ((116.3392073 39.9432958, 116.3394356 39.9432955, 116.3393926 39.9432448, 116.3398348 39.9432607, 116.3398351 39.9433837, 116.3394342 39.9433843, 116.3394343 39.9434164, 116.3392075 39.9434167, 116.3392073 39.9432958))",POINT (116.3395229 39.9433307),765.3,8237.1
,74,276433880,,yes,,,,"POLYGON ((116.3403035 39.9433942, 116.3407302 39.9432574, 116.3406939 39.943174, 116.3406493 39.9431933, 116.3406214 39.9431035, 116.3407023 39.9430971, 116.3407051 39.943018, 116.3406632 39.943018, 116.3406632 39.9429667, 116.3404959 39.943003, 116.340521 39.94305, 116.3404959 39.9430607, 116.3404653 39.9430158, 116.3403314 39.9430842, 116.340376 39.9431249, 116.3403426 39.9431548, 116.3403008 39.9431462, 116.3402561 39.9431548, 116.3402171 39.9431804, 116.3402032 39.9432211, 116.3402227 39.9432553, 116.3402645 39.9432766, 116.3403119 39.9432831, 116.3403231 39.9433044, 116.3402645 39.9433215, 116.3403035 39.9433942))",POINT (116.3404781 39.9431851),1193.8,12850.0
,75,276433883,,yes,,,,"POLYGON ((116.3410762 39.9428691, 116.3410007 39.9427197, 116.3413943 39.942677, 116.341613 39.9426313, 116.3421578 39.9424728, 116.3425395 39.9423783, 116.3428298 39.9422929, 116.3431161 39.9422411, 116.3432036 39.9423874, 116.3429252 39.9424332, 116.3426111 39.9425216, 116.3422492 39.9426191, 116.3418874 39.942738, 116.3416806 39.9427807, 116.341458 39.9428264, 116.3410762 39.9428691))",POINT (116.3421003 39.9425729),3348.6,36043.8
一号宿舍楼,76,287661510,,apartments,,,,"POLYGON ((116.3369573 39.9494991, 116.3369962 39.9493492, 116.3377003 39.9494565, 116.3376614 39.9496064, 116.3369573 39.9494991))",POINT (116.3373288 39.9494778),1040.2,11197.0
芳华园,77,287661515,,,,park,,"POLYGON ((116.3366134 39.9501662, 116.3368077 39.9495185, 116.3382728 39.9497505, 116.3381585 39.9503722, 116.3366134 39.9501662))",POINT (116.3374553 39.9499533),9377.4,100937.2
电气工程楼,78,287661745,,yes,,,,"POLYGON ((116.3384463 39.9498675, 116.338498 39.9496603, 116.3391681 39.9497585, 116.3390478 39.950241, 116.338862 39.9502138, 116.3389307 39.9499385, 116.3384463 39.9498675))",POINT (116.3388562 39.9498875),1867.2,20098.1
